epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
100,6122.5,0.33165,0.19863,0.78348,0.99722,0.98511,0.99494,0.95002,0.28912,0.15882,0.80159,0.0010199,0.0010199,0.0010199
101,6174.24,0.33047,0.19719,0.78657,1,0.98322,0.99489,0.94174,0.29364,0.15876,0.80183,0.00101,0.00101,0.00101
102,6226.15,0.3347,0.19815,0.78564,1,0.98599,0.995,0.95303,0.27388,0.15273,0.79903,0.0010001,0.0010001,0.0010001
103,6278.1,0.3278,0.19319,0.78299,0.99722,0.98483,0.99497,0.95081,0.28444,0.15646,0.79954,0.0009902,0.0009902,0.0009902
104,6330.22,0.33363,0.19708,0.78626,1,0.98075,0.99494,0.95203,0.28316,0.15627,0.80029,0.0009803,0.0009803,0.0009803
105,6381.88,0.33689,0.19886,0.78527,1,0.98283,0.99497,0.95572,0.285,0.15932,0.80144,0.0009704,0.0009704,0.0009704
106,6433.27,0.33501,0.1982,0.78908,1,0.98073,0.99494,0.95324,0.2806,0.15299,0.79983,0.0009605,0.0009605,0.0009605
107,6485.1,0.33172,0.19901,0.78624,1,0.98782,0.995,0.95499,0.28424,0.1558,0.79933,0.0009506,0.0009506,0.0009506
108,6536.89,0.33104,0.19599,0.7824,0.98378,1,0.995,0.95406,0.28583,0.15582,0.80023,0.0009407,0.0009407,0.0009407
109,6588.58,0.32768,0.19419,0.78331,0.98913,1,0.995,0.95478,0.28211,0.15106,0.79929,0.0009308,0.0009308,0.0009308
110,6640.23,0.32475,0.1927,0.7822,1,0.98479,0.995,0.9542,0.2805,0.15313,0.79911,0.0009209,0.0009209,0.0009209
111,6691.74,0.32334,0.19011,0.77984,0.98645,1,0.995,0.95616,0.27939,0.14992,0.79916,0.000911,0.000911,0.000911
112,6743.61,0.32383,0.19258,0.78188,0.99672,1,0.995,0.9545,0.28102,0.14994,0.79948,0.0009011,0.0009011,0.0009011
113,6795.71,0.32564,0.19269,0.78251,0.99454,1,0.995,0.95445,0.27838,0.14935,0.7992,0.0008912,0.0008912,0.0008912
114,6847.49,0.32764,0.1939,0.78388,0.98913,1,0.995,0.95779,0.2839,0.15402,0.80027,0.0008813,0.0008813,0.0008813
115,6899.13,0.32543,0.18908,0.78594,0.98378,1,0.995,0.95592,0.27983,0.14739,0.79943,0.0008714,0.0008714,0.0008714
116,6950.91,0.32573,0.19078,0.78376,1,0.98589,0.995,0.95429,0.2811,0.14811,0.79893,0.0008615,0.0008615,0.0008615
117,7002.89,0.3215,0.18923,0.78398,1,0.99433,0.995,0.95606,0.27861,0.14773,0.79879,0.0008516,0.0008516,0.0008516
118,7054.77,0.32341,0.19075,0.78328,0.99183,1,0.99497,0.95696,0.28238,0.15535,0.79913,0.0008417,0.0008417,0.0008417
119,7106.56,0.31844,0.18832,0.7814,0.99183,1,0.995,0.95704,0.28222,0.1487,0.80037,0.0008318,0.0008318,0.0008318
120,7158.08,0.32111,0.18821,0.78095,0.98378,1,0.995,0.95173,0.28227,0.15101,0.79947,0.0008219,0.0008219,0.0008219
